hno,gugun,animal_hospital,approval,road_address,tel,lat,lon,basic_date
1,해운대구,닥터주 동물병원,2013-07-22,"부산광역시 해운대구 좌동순환로402번길 8, 204호 (좌동, 피렌체오피스텔)",051-731-7530,35.16302,129.177735,2023-12-31
2,해운대구,달맞이 호두네 동물병원,2015-05-19,"부산광역시 해운대구 달맞이길65번길 33, 상가동 3층 305호 (중동, 해운대 달맞이 유림 노르웨이숲)",051-746-7077,35.161186,129.173699,2023-12-31
3,해운대구,로이종합동물병원,2013-03-20,"부산광역시 해운대구 센텀중앙로 145, 202호 (재송동, 센텀파크상가2동)",051-742-7975,35.176757,129.123592,2023-12-31
4,해운대구,리더스동물병원,2018-11-19,"부산광역시 해운대구 해운대로 814, 세종월드프라자 A동 301호 (좌동)",051-701-7588,35.169577,129.177678,2023-12-31
5,해운대구,리안 동물병원,2021-02-10,"부산광역시 해운대구 달맞이길 58, 2층 (중동)",051-747-1275,35.161112,129.171076,2023-12-31
6,해운대구,마리동물병원,2014-06-30,"부산광역시 해운대구 해운대로 794, 엘리움 306호 (좌동)",051-702-5750,35.168794,129.175741,2023-12-31
7,해운대구,마린시티 종합동물병원,2010-04-09,"부산광역시 해운대구 마린시티3로 23, 벽산이오렌지프라자 333~336호 (우동)",051-747-7407,35.156647,129.146931,2023-12-31
8,해운대구,마린파크 동물병원,2021-01-21,"부산광역시 해운대구 마린시티2로 2, 마린파크 2층 208호 (우동)",051-751-7585,35.159326,129.144242,2023-12-31
9,해운대구,박창언 동물병원,2020-08-19,부산광역시 해운대구 해운대로177번길 6 (재송동),051-782-7275,35.181964,129.123357,2023-12-31
10,해운대구,반송동물병원,2003-02-25,부산광역시 해운대구 아랫반송로 11-1 (반송동),051-545-0041,35.22559,129.147496,2023-12-31
11,해운대구,반여착한동물병원,2017-01-13,"부산광역시 해운대구 선수촌로 65-19, 농협반여동지점 2층 (반여동)",051-927-7575,35.199648,129.117778,2023-12-31
12,해운대구,벡스코 동물병원,2019-04-16,"부산광역시 해운대구 해운대로 369, 해운대센텀메디칼센터 (우동)",051-715-2228,35.170196,129.137734,2023-12-31
13,해운대구,사랑의동물병원,2014-03-16,"부산광역시 해운대구 좌동순환로 173, 영풍프라자 302호 (좌동)",051-702-1626,35.178161,129.175282,2023-12-31
14,해운대구,성심동물병원,1996-11-29,"부산광역시 해운대구 좌동순환로 308, 3층 (좌동)",051-704-7540,35.168677,129.182562,2023-12-31
15,해운대구,센텀동물종합병원,2006-08-17,"부산광역시 해운대구 센텀중앙로 145, 205호 (재송동)",051-744-6336,35.176757,129.123592,2023-12-31
16,해운대구,마린숲동물병원,2020-06-05,"부산광역시 해운대구 마린시티3로 37, 한일오르듀 207호 (우동)",051-742-7585,35.155449,129.146607,2023-12-31
17,해운대구,스펀지동물병원,2011-05-11,부산광역시 해운대구 해운대로 658-1 (우동),051-746-1075,35.165259,129.162182,2023-12-31
18,해운대구,신도시동물병원,2001-04-02,"부산광역시 해운대구 좌동순환로 178, 2층 (좌동)",051-703-6996,35.177499,129.175522,2023-12-31
19,해운대구,신비한 동물병원 인센텀,2022-03-29,"부산광역시 해운대구 센텀중앙로 60, 106호 (우동)",051-744-7500,35.173829,129.12886,2023-12-31
20,해운대구,아이센텀 동물메디컬센터,2004-02-19,"부산광역시 해운대구 센텀동로 25, B동 204호 (우동, 대우월드마크센텀아파트)",051-746-0075,35.171909,129.131437,2023-12-31
21,해운대구,아이앤지동물병원,2019-06-07,"부산광역시 해운대구 대천로 114, 1층 (좌동)",051-702-5575,35.174829,129.174711,2023-12-31
22,해운대구,아이케어 동물병원,2021-06-25,"부산광역시 해운대구 센텀동로 25, B상가동 203호 (우동, 대우월드마크센텀아파트)",051-715-5640,35.171909,129.131437,2023-12-31
23,해운대구,오션동물메디컬센터,2020-05-06,"부산광역시 해운대구 선수촌로 78, 다솜빌딩 2층 (반여동)",051-711-5999,35.200638,129.119355,2023-12-31
24,해운대구,온누리동물병원,2011-02-17,"부산광역시 해운대구 좌동순환로 309, 303호 (좌동)",051-701-7555,35.168372,129.183191,2023-12-31
25,해운대구,우리동물병원,2003-12-19,부산광역시 해운대구 선수촌로 101 (반여동),051-528-7581,35.202772,129.119241,2023-12-31
26,해운대구,장산동물병원,2007-03-07,"부산광역시 해운대구 반여로 96, 1층 (반여동, 영풍빌딩)",051-529-5388,35.200176,129.1234,2023-12-31
27,해운대구,재송동물병원,1995-03-22,"부산광역시 해운대구 재반로 117-1, 2층 (재송동)",051-784-0079,35.188985,129.126499,2023-12-31
28,해운대구,조앤박동물병원,2010-04-05,"부산광역시 해운대구 양운로 108, 2층 (좌동)",051-702-7511,35.172459,129.174032,2023-12-31
29,해운대구,큰마음동물메디컬센터,2018-01-24,"부산광역시 해운대구 해운대해변로357번길 17, 4~8층 (중동)",051-710-2004,35.164684,129.167716,2023-12-31
30,해운대구,토마스동물병원,2010-02-02,부산광역시 해운대구 반송로 922 (반송동),051-544-0775,35.23247,129.154362,2023-12-31
31,해운대구,푸른동물병원,2001-07-02,부산광역시 해운대구 해운대로61번길 104 (반여동),051-784-1235,35.194669,129.129612,2023-12-31
32,해운대구,해밀동물병원,2020-05-01,"부산광역시 해운대구 송정광어골로 22, 1층 (송정동)",051-710-1766,35.179306,129.197671,2023-12-31
