sido,gugun,total,male,female
서울특별시,소계,9384325,4538354,4845971
서울특별시,종로구,139378,67240,72138
서울특별시,중구,121322,58651,62671
서울특별시,용산구,212175,101793,110382
서울특별시,성동구,277090,134390,142700
서울특별시,광진구,335335,161154,174181
서울특별시,동대문구,340983,167230,173753
서울특별시,중랑구,382284,187392,194892
서울특별시,성북구,424916,203824,221092
서울특별시,강북구,287490,139141,148349
서울특별시,도봉구,306722,148670,158052
서울특별시,노원구,497237,238609,258628
서울특별시,은평구,466474,221484,244990
서울특별시,서대문구,305857,145212,160645
서울특별시,마포구,363679,169882,193797
서울특별시,양천구,435548,212547,223001
서울특별시,강서구,562550,269623,292927
서울특별시,구로구,392311,192252,200059
서울특별시,금천구,227457,114471,112986
서울특별시,영등포구,374985,183769,191216
서울특별시,동작구,378360,182934,195426
서울특별시,관악구,481872,242598,239274
서울특별시,서초구,407768,194231,213537
서울특별시,강남구,549154,262618,286536
서울특별시,송파구,653989,314189,339800
서울특별시,강동구,459389,224450,234939
부산광역시,소계,3290964,1603859,1687105
부산광역시,중구,38476,18668,19808
부산광역시,서구,103889,49956,53933
부산광역시,동구,87619,42595,45024
부산광역시,영도구,106335,52207,54128
부산광역시,부산진구,360053,172807,187246
부산광역시,동래구,269784,130367,139417
부산광역시,남구,254348,123849,130499
부산광역시,북구,272932,134225,138707
부산광역시,해운대구,379702,181894,197808
부산광역시,사하구,296935,147333,149602
부산광역시,금정구,214642,104650,109992
부산광역시,강서구,142109,73702,68407
부산광역시,연제구,209331,100036,109295
부산광역시,수영구,174086,81657,92429
부산광역시,사상구,202376,101549,100827
부산광역시,기장군,178347,88364,89983
대구광역시,소계,2373844,1166110,1207734
대구광역시,중구,89685,42950,46735
대구광역시,동구,342703,167899,174804
대구광역시,서구,164513,81686,82827
대구광역시,남구,138806,66319,72487
대구광역시,북구,418563,207552,211011
대구광역시,수성구,408260,196713,211547
대구광역시,달서구,526576,258322,268254
대구광역시,달성군,261808,132810,128998
대구광역시,군위군,22930,11859,11071
인천광역시,소계,3000454,1500414,1500040
인천광역시,중구,159481,82604,76877
인천광역시,중구영종출장소,0,0,0
인천광역시,중구용유출장소,0,0,0
인천광역시,동구,59325,29718,29607
인천광역시,미추홀구,406937,204668,202269
인천광역시,연수구,392681,194710,197971
인천광역시,남동구,491660,244140,247520
인천광역시,부평구,495627,243992,251635
인천광역시,계양구,279708,139204,140504
인천광역시,서구,625675,315196,310479
인천광역시,서구검단출장소,0,0,0
인천광역시,강화군,69013,34553,34460
인천광역시,옹진군,20347,11629,8718
광주광역시,소계,1418241,700377,717864
